workerid,proliferate.condition,Browser,OS,screenH,screenW,error
58,condition1,Chrome,Mac,900,1440,
80,condition1,Chrome,Windows,864,1536,
23,condition1,Chrome,Windows,1080,1920,
85,condition1,Chrome,Mac,768,1366,
72,condition1,Safari,Mac,1180,820,
28,condition1,Chrome,Mac,1050,1680,
45,condition1,Chrome,Windows,1080,1920,
65,condition1,Chrome,Mac,900,1440,
64,condition1,Chrome,Windows,1440,2560,
75,condition1,Chrome,Windows,982,1746,
24,condition1,Firefox,Mac,1080,1920,
22,condition1,Firefox,Windows,720,1280,
67,condition1,Chrome,Mac,900,1440,
31,condition1,Chrome,Linux,675,1080,
25,condition1,Chrome,Windows,768,1366,
86,condition1,Safari,Mac,900,1440,
42,condition1,Chrome,Windows,768,1366,
39,condition1,Chrome,Windows,720,1152,
90,condition1,Safari,iPhone/iPod,844,390,
81,condition1,Chrome,Windows,1080,1920,
60,condition1,Chrome,Windows,720,1280,
88,condition1,Chrome,Windows,1080,1920,
68,condition1,Firefox,Windows,720,1280,
17,condition1,Firefox,Windows,720,1280,
27,condition1,Chrome,Windows,1080,1920,
29,condition1,Firefox,Mac,1120,1792,
74,condition1,Chrome,Windows,720,1280,
36,condition1,Firefox,Windows,720,1280,
48,condition1,Firefox,Windows,1440,2560,
63,condition1,Chrome,Windows,864,1536,
13,condition1,Chrome,Windows,720,1280,
43,condition1,Chrome,Mac,1050,1680,
41,condition1,Chrome,Windows,900,1600,
30,condition1,Chrome,Mac,900,1440,
82,condition1,Chrome,Mac,900,1440,
44,condition1,Safari,iPhone/iPod,896,414,
87,condition1,Chrome,Windows,768,1366,
37,condition1,Firefox,Windows,1080,1920,
70,condition1,Chrome,Windows,900,1600,
77,condition1,Chrome,Windows,1080,2560,
84,condition1,Firefox,Windows,1080,1920,
53,condition1,Chrome,Mac,900,1440,
16,condition1,Firefox,Windows,864,1536,
46,condition1,Chrome,Windows,864,1536,
83,condition1,Chrome,Windows,1050,1680,
26,condition1,Chrome,Windows,1080,1920,
66,condition1,Chrome,Mac,1024,1280,
19,condition1,Chrome,Windows,1080,1920,
56,condition1,Safari,Mac,1440,2560,
32,condition1,Chrome,Windows,727,1291,
59,condition1,Chrome,Windows,720,1280,
40,condition1,Chrome,Windows,768,1366,
61,condition1,Chrome,Windows,768,1024,
49,condition1,Chrome,Mac,768,1366,
47,condition1,Chrome,Windows,1080,1920,
57,condition1,Chrome,Windows,940,1670,
76,condition1,Firefox,Mac,900,1440,
14,condition1,Chrome,Windows,720,1280,
69,condition1,Chrome,Windows,768,1366,
51,condition1,Firefox,Linux,1080,1920,
38,condition1,Chrome,Windows,768,1366,
91,condition1,Chrome,Windows,1080,1920,
78,condition1,Safari,Mac,900,1440,
18,condition1,Firefox,Mac,900,1440,
35,condition1,Chrome,Windows,768,1366,
73,condition1,Safari,Mac,900,1440,
62,condition1,Safari,iPhone/iPod,896,414,
21,condition1,Firefox,Windows,720,1280,
89,condition1,Safari,Mac,900,1440,
